id,platform,city,text,objective_criteria,subjective_criteria,openness,annotator,split
xhs_train_4,小红书,北京,我感觉原顺天府地区的人都是北京人，主要看文化习俗,,Culture,Inclusive,merged,train
xhs_train_5,小红书,北京,我从小就觉得只要是北京出生的都是北京人,Birth/Upbringing,,Inclusive,merged,train
xhs_train_13,小红书,北京,生在北京，现在50，但一直不觉得自己是老北京人。对于老北京和一代二代移民北京的，聊天五分钟，基本能分辨清晰。不管学历高低，气质还是不一样（无高低之分），口音并不是主要依据。老北京自带一种（并不太高级）的慵懒和礼仪感，不招人烦，但也并不可亲。,,Community,Restrictive,merged,train
xhs_train_17,小红书,北京,我母亲倒是土生土长的北京人，至少三代了。,Birth/Upbringing; Family Heritage,,Neutral,merged,train
xhs_train_21,小红书,北京,当然不算，哪里长大的就算哪里人，虽说我也有北京户口，但是别人问我家哪的，我从来都说我是东北的。,Birth/Upbringing,,Restrictive,merged,train
xhs_train_22,小红书,北京,天天自己北京人，一查身份证就露馅儿了,Legal/Admin,,Restrictive,merged,train
xhs_train_24,小红书,北京,我老公山东的，我家往上一直都是北京的，那我孩子新北京人吗,Family Heritage,,Neutral,merged,train
xhs_train_26,小红书,北京,北京土著也叫京圈110101-110108，其他就叫京籍,Legal/Admin; Intra-city Region,,Restrictive,merged,train
xhs_train_29,小红书,北京,我倒是有户口，但我可说不出我是北京人。包括我们这种京一代生的孩子，他们的身份证是110开头了，大多也不会说自己是北京人，因为生活环境一点也不北京，是大院子弟。,Birth/Upbringing; Residence,Self-ID,Restrictive,merged,train
xhs_train_30,小红书,北京,无论你来北京多少年，只要你周围都不是北京人，没在北京人的生活圈子里浸染，接受并按北京人的生活准则待人接物，就不能称为北京人！有些人来北京几十年，还是按照老家村里的习惯生活，乡音都未改，怎么能算北京人？只能是生活在北京的外地人 因为你并没有融入其中。,,Culture; Language; Community,Restrictive,merged,train
xhs_train_32,小红书,北京,誰有钱，谁落户，谁就是北京人，我身边的东北老乡大部分都定居北京了。,Property/Assets; Legal/Admin,,Inclusive,merged,train
xhs_train_34,小红书,北京,是不是北京人学校说了算！孩子上学看户籍又不是祖籍，三代以上的老北京也没有那么多，不然房子卖给谁？,Legal/Admin,,Inclusive,merged,train
xhs_train_37,小红书,北京,身份证以110开头的才能算是北京人！,Legal/Admin,,Restrictive,merged,train
xhs_train_38,小红书,北京,籍贯是北京才是正宗老北京,Legal/Admin; Family Heritage,,Restrictive,merged,train
xhs_train_40,小红书,北京,北京土著就是老北京人，好几代生活在北京。,Residence; Family Heritage,,Restrictive,merged,train
xhs_train_41,小红书,北京,把特色的儿化音说对地儿的一般是土著；我身边的新北京人普通话没毛病，但不会儿化音。,,Language,Restrictive,merged,train
xhs_train_43,小红书,北京,1你在海里，所有人都觉得你是自己人。 2你在网上，八代以上才是北京人,Family Heritage,Belonging,Restrictive,merged,train
xhs_train_47,小红书,北京,别人不知道，在我的观念里，你的家庭（你自己对象孩子的小家和你父母的大家）已经扎根落地在北京了过年过节基本也只能在这的，就算北京人吧。那种刚把父母接来北京住两年的不算，父母并没有扎根落地，他们没自己的社交圈,Family Heritage,Community,Neutral,merged,train
xhs_train_50,小红书,北京,解放前家就在北京的算是老北京。解放后迁入的及其后代，不能算是老北京。,Family Heritage,,Restrictive,merged,train
