step,dataset,labels_micro_f1,labels_macro_f1,labels_jaccard,openness_accuracy,openness_f1,openness_precision_macro,openness_precision_micro,openness_recall_macro,openness_recall_micro,num_samples,predictions_file,eval_dir,model
1,labels_only_test,0.7898448519040903,0.6354545308594658,0.6897338403041824,0.5133079847908745,0.4200400968571381,0.6413116970926301,0.5133079847908745,0.45326782737598253,0.5133079847908745,263,/nfs/home/tanz/dd2/outputs/checkpoint/gemma+label_only+1.jsonl,/nfs/home/tanz/dd2/outputs/checkpoint/gemma_labels_only/checkpoint-1,gemma
2,labels_only_test,0.5463743676222597,0.41064123846078737,0.3275665399239544,0.467680608365019,0.3666331914320242,0.6759259259259259,0.467680608365019,0.5222752480642638,0.467680608365019,263,/nfs/home/tanz/dd2/outputs/checkpoint/gemma+label_only+2.jsonl,/nfs/home/tanz/dd2/outputs/checkpoint/gemma_labels_only/checkpoint-2,gemma
3,labels_only_test,0.6936829558998808,0.5719880649220385,0.6135524171645844,0.4866920152091255,0.4465128253094813,0.6011856980400027,0.4866920152091255,0.5489106265545214,0.4866920152091255,263,/nfs/home/tanz/dd2/outputs/checkpoint/gemma+label_only+3.jsonl,/nfs/home/tanz/dd2/outputs/checkpoint/gemma_labels_only/checkpoint-3,gemma
4,labels_only_test,0.3252279635258359,0.22170926624226633,0.27287705956907476,0.44106463878326996,0.27422315458240465,0.4796437659033079,0.44106463878326996,0.3398692810457516,0.44106463878326996,263,/nfs/home/tanz/dd2/outputs/checkpoint/gemma+label_only+4.jsonl,/nfs/home/tanz/dd2/outputs/checkpoint/gemma_labels_only/checkpoint-4,gemma
5,labels_only_test,0.760932944606414,0.608674020084272,0.6387923230128553,0.4752851711026616,0.3368681044692389,0.48484848484848486,0.4752851711026616,0.3986928104575163,0.4752851711026616,263,/nfs/home/tanz/dd2/outputs/checkpoint/gemma+label_only+5.jsonl,/nfs/home/tanz/dd2/outputs/checkpoint/gemma_labels_only/checkpoint-5,gemma
6,labels_only_test,0.7389162561576355,0.6116540030394909,0.6587543001991671,0.6387832699619772,0.6426572924887007,0.64315600437097,0.6387832699619772,0.6367014996645602,0.6387832699619772,263,/nfs/home/tanz/dd2/outputs/checkpoint/gemma+label_only+6.jsonl,/nfs/home/tanz/dd2/outputs/checkpoint/gemma_labels_only/checkpoint-6,gemma
7,labels_only_test,0.7559681697612732,0.5948756750772388,0.6657160963244614,0.5209125475285171,0.4972227759902773,0.6031289910600256,0.5209125475285171,0.5811966262674201,0.5209125475285171,263,/nfs/home/tanz/dd2/outputs/checkpoint/gemma+label_only+7.jsonl,/nfs/home/tanz/dd2/outputs/checkpoint/gemma_labels_only/checkpoint-7,gemma
8,labels_only_test,0.7234678624813154,0.57993333680247,0.6051330798479087,0.5893536121673004,0.582526692520435,0.5909100961693861,0.5893536121673004,0.612648860530317,0.5893536121673004,263,/nfs/home/tanz/dd2/outputs/checkpoint/gemma+label_only+8.jsonl,/nfs/home/tanz/dd2/outputs/checkpoint/gemma_labels_only/checkpoint-8,gemma
9,labels_only_test,0.7590027700831025,0.5873409833421424,0.6879141770776752,0.5855513307984791,0.4978031612644639,0.69004329004329,0.5855513307984791,0.5743513123163505,0.5855513307984791,263,/nfs/home/tanz/dd2/outputs/checkpoint/gemma+label_only+9.jsonl,/nfs/home/tanz/dd2/outputs/checkpoint/gemma_labels_only/checkpoint-9,gemma
10,labels_only_test,0.7881241565452092,0.6188577872682446,0.7022179974651458,0.6387832699619772,0.5990733533887335,0.6531468687759546,0.6387832699619772,0.6568114770187172,0.6387832699619772,263,/nfs/home/tanz/dd2/outputs/checkpoint/gemma+label_only+10.jsonl,/nfs/home/tanz/dd2/outputs/checkpoint/gemma_labels_only/checkpoint-10,gemma
