dataset,labels_micro_f1,labels_macro_f1,labels_jaccard,openness_accuracy,openness_f1,model,step
labels_only_test,0.3252279635,0.2217092662,0.2728770596,0.4410646388,0.2742231546,gemma,4
labels_only_test,0.5463743676,0.4106412385,0.3275665399,0.4676806084,0.3666331914,gemma,8
labels_only_test,0.6936829559,0.5719880649,0.6135524172,0.4866920152,0.4465128253,gemma,12
labels_only_test,0.7234678625,0.5799333368,0.6051330798,0.5893536122,0.5825266925,gemma,16
labels_only_test,0.7389162562,0.611654003,0.6587543002,0.63878327,0.6426572925,gemma,20
labels_only_test,0.7559681698,0.5948756751,0.6657160963,0.5209125475,0.497222776,gemma,24
labels_only_test,0.7590027701,0.5873409833,0.6879141771,0.5855513308,0.4978031613,gemma,28
labels_only_test,0.7609329446,0.6086740201,0.638792323,0.4752851711,0.3368681045,gemma,32
labels_only_test,0.7806191117,0.6275802417,0.6769328264,0.6920152091,0.6883405365,gemma,36
labels_only_test,0.7881241565,0.6188577873,0.7022179975,0.63878327,0.5990733534,gemma,40
labels_only_test,0.7884615385,0.6208401405,0.6821292776,0.6121673004,0.5973774054,gemma,44
labels_only_test,0.7898448519,0.6354545309,0.6897338403,0.5133079848,0.4200400969,gemma,48
labels_only_test,0.7949790795,0.6673569712,0.6932192649,0.7034220532,0.7042928432,gemma,52
labels_only_test,0.7951153324,0.6429265179,0.6978453739,0.6539923954,0.6516574487,gemma,56
labels_only_test,0.7984293194,0.6473941018,0.6800380228,0.6844106464,0.6742942258,gemma,60
labels_only_test,0.7989056088,0.640460106,0.6868459171,0.6920152091,0.6834901253,gemma,64
labels_only_test,0.8,0.6427465601,0.6900144849,0.6920152091,0.6876428056,gemma,68
labels_only_test,0.8010899183,0.640919519,0.6937533949,0.6920152091,0.6823396036,gemma,72
labels_only_test,0.8021828104,0.643825111,0.6976190476,0.6920152091,0.6902881399,gemma,76
labels_only_test,0.8032128514,0.6400324886,0.7088719899,0.6577946768,0.6547899,gemma,80
labels_only_test,0.8060522696,0.6698556891,0.6756653992,0.680608365,0.6659086141,gemma,84
labels_only_test,0.8067226891,0.6406810287,0.6807351077,0.6692015209,0.6671131605,gemma,88
labels_only_test,0.8075370121,0.6700679575,0.6761723701,0.6844106464,0.6694610248,gemma,92
labels_only_test,0.8077994429,0.6660608385,0.6832337498,0.7452471483,0.7425004222,gemma,96
labels_only_test,0.8116710875,0.6646171951,0.7226869455,0.6920152091,0.6762326627,gemma,100
labels_only_test,0.812749004,0.6814992715,0.7207858048,0.680608365,0.6647464009,gemma,104
labels_only_test,0.8143236074,0.6718968391,0.7223700887,0.6996197719,0.6844068807,gemma,108
labels_only_test,0.8154050465,0.6763086742,0.7214195184,0.7072243346,0.6925670551,gemma,112
labels_only_test,0.8173207037,0.6641497896,0.7253757016,0.7300380228,0.7305684587,gemma,116
labels_only_test,0.8183041723,0.6590178394,0.7222071338,0.7300380228,0.7274738526,gemma,120
labels_only_test,0.8201634877,0.6734125354,0.7264168025,0.752851711,0.7532422875,gemma,124
labels_only_test,0.8219544846,0.6668576067,0.7351982618,0.7414448669,0.7411798342,gemma,128
