dataset,labels_micro_f1,labels_macro_f1,labels_jaccard,openness_accuracy,openness_f1,model,step
labels_only_test,0.3509174312,0.2581410494,0.332830889,0.4752851711,0.4772787827,yi,4
labels_only_test,0.4864864865,0.395777342,0.4026225042,0.4714828897,0.3420664279,yi,8
labels_only_test,0.5362776025,0.3898679834,0.4884030418,0.391634981,0.2781404839,yi,12
labels_only_test,0.5382585752,0.445793256,0.3402770234,0.5285171103,0.4427241406,yi,16
labels_only_test,0.6813793103,0.5057752878,0.624474923,0.566539924,0.5707416682,yi,20
labels_only_test,0.7112375533,0.5452268335,0.6051511859,0.6045627376,0.5838786797,yi,24
labels_only_test,0.7178807947,0.5866589167,0.6548162231,0.5551330798,0.4752985074,yi,28
labels_only_test,0.7238912732,0.569553639,0.6122125656,0.6045627376,0.6089504231,yi,32
labels_only_test,0.7354651163,0.5658538638,0.6091435814,0.6311787072,0.6030888321,yi,36
labels_only_test,0.7469553451,0.6016917683,0.6736375158,0.6273764259,0.6262640248,yi,40
labels_only_test,0.7587131367,0.6066305077,0.6868640232,0.6349809886,0.6282082916,yi,44
labels_only_test,0.776119403,0.6195514821,0.6927485062,0.7262357414,0.7241836373,yi,48
labels_only_test,0.7780821918,0.6312436346,0.6842839037,0.6996197719,0.686975426,yi,52
labels_only_test,0.7783505155,0.6560737644,0.6969491219,0.711026616,0.713109367,yi,56
labels_only_test,0.7830687831,0.6352095835,0.685415535,0.6615969582,0.6558932034,yi,60
labels_only_test,0.7838214784,0.6178963929,0.6908745247,0.6349809886,0.5977250861,yi,64
labels_only_test,0.7873799726,0.6623552178,0.6555314141,0.7034220532,0.6979656322,yi,68
labels_only_test,0.7874659401,0.6239188159,0.6818757921,0.7338403042,0.736230512,yi,72
labels_only_test,0.7904509284,0.646597532,0.6825366649,0.680608365,0.6604400812,yi,76
labels_only_test,0.791086351,0.6472735922,0.6687850806,0.6768060837,0.659541457,yi,80
labels_only_test,0.791500664,0.6475332267,0.6848995111,0.6996197719,0.6831427334,yi,84
labels_only_test,0.7935222672,0.6447724471,0.6783269962,0.6920152091,0.6873153842,yi,88
labels_only_test,0.7935656836,0.6480380155,0.6848542459,0.6920152091,0.6779103764,yi,92
labels_only_test,0.7936507937,0.649054264,0.6860220894,0.6882129278,0.671666334,yi,96
labels_only_test,0.7962213225,0.6386310106,0.687896071,0.7338403042,0.7330064747,yi,100
labels_only_test,0.796812749,0.6707663065,0.670994025,0.6958174905,0.6940577378,yi,104
labels_only_test,0.7983978638,0.6465623223,0.7125384755,0.711026616,0.7044776168,yi,108
labels_only_test,0.8010540184,0.6777934064,0.6929838856,0.6920152091,0.6886198275,yi,112
labels_only_test,0.8038408779,0.6404414084,0.6941698352,0.7376425856,0.7402963201,yi,116
labels_only_test,0.8063660477,0.6540297417,0.7222705052,0.7148288973,0.7035662581,yi,120
labels_only_test,0.808,0.645621336,0.7272134709,0.6996197719,0.685077624,yi,124
labels_only_test,0.8151147099,0.6645170513,0.7185678074,0.7186311787,0.7182402115,yi,128
