dataset,labels_micro_f1,labels_macro_f1,labels_jaccard,openness_accuracy,openness_f1,model,step
labels_withphrase_test,0.3897637795,0.3060476988,0.2177439797,0.4372623574,0.3266535877,gemma,4
labels_withphrase_test,0.5069551777,0.3923229924,0.4078761543,0.4410646388,0.2742917986,gemma,8
labels_withphrase_test,0.6441784548,0.5203666962,0.5977005251,0.4068441065,0.398966403,gemma,12
labels_withphrase_test,0.6767830046,0.5370207017,0.5239543726,0.5019011407,0.4960953452,gemma,16
labels_withphrase_test,0.7198838897,0.5910852328,0.5906663045,0.608365019,0.553206731,gemma,20
labels_withphrase_test,0.7579529737,0.6356248868,0.6698986058,0.6311787072,0.6060920044,gemma,24
labels_withphrase_test,0.7608982827,0.617385976,0.6728770596,0.5475285171,0.4962376615,gemma,28
labels_withphrase_test,0.7650834403,0.633179231,0.6725602028,0.6197718631,0.6098962518,gemma,32
labels_withphrase_test,0.7727891156,0.6460358688,0.7030418251,0.6501901141,0.6489861667,gemma,36
labels_withphrase_test,0.7884362681,0.6654114202,0.7318124208,0.680608365,0.6821743929,gemma,40
labels_withphrase_test,0.8015873016,0.6846492681,0.7238910013,0.6121673004,0.5883171009,gemma,44
labels_withphrase_test,0.8036890646,0.6751301812,0.7156346189,0.6730038023,0.6471678986,gemma,48
labels_withphrase_test,0.8067444877,0.6824535782,0.7284537389,0.6958174905,0.6889312243,gemma,52
labels_withphrase_test,0.8164383562,0.7011674227,0.6972116603,0.6768060837,0.6626569424,gemma,56
labels_withphrase_test,0.8189415042,0.6744509719,0.7058935361,0.7148288973,0.7125755369,gemma,60
labels_withphrase_test,0.8201058201,0.689684975,0.7296577947,0.7376425856,0.7375391937,gemma,64
labels_withphrase_test,0.8219544846,0.6896752966,0.7319391635,0.7452471483,0.7416146487,gemma,68
labels_withphrase_test,0.8230563003,0.707971607,0.7160329531,0.7034220532,0.6975136952,gemma,72
labels_withphrase_test,0.8249660787,0.7027458517,0.7249683143,0.7300380228,0.7220307171,gemma,76
labels_withphrase_test,0.8252688172,0.7018675017,0.7383396705,0.7300380228,0.7236979218,gemma,80
labels_withphrase_test,0.8252688172,0.690186408,0.7330798479,0.7262357414,0.7221377681,gemma,84
labels_withphrase_test,0.8263157895,0.7019413389,0.7340937896,0.7300380228,0.7288765067,gemma,88
labels_withphrase_test,0.8263795424,0.7033879994,0.7358048162,0.7072243346,0.6960918086,gemma,92
labels_withphrase_test,0.8263795424,0.6909034702,0.7330798479,0.7262357414,0.7212772529,gemma,96
labels_withphrase_test,0.8268456376,0.7148681768,0.7143219265,0.7034220532,0.6955648281,gemma,100
labels_withphrase_test,0.828229028,0.6954727753,0.7379594423,0.7452471483,0.7451064471,gemma,104
labels_withphrase_test,0.8288043478,0.6852852822,0.7288973384,0.7414448669,0.742744992,gemma,108
labels_withphrase_test,0.8293333333,0.710513493,0.7420785805,0.7186311787,0.7183015644,gemma,112
labels_withphrase_test,0.8299866131,0.7116830816,0.7420785805,0.7148288973,0.7125057643,gemma,116
labels_withphrase_test,0.8299866131,0.696117192,0.7408111534,0.752851711,0.7508634129,gemma,120
labels_withphrase_test,0.8337801609,0.7075084469,0.7439797212,0.7300380228,0.7305890161,gemma,124
labels_withphrase_test,0.8342245989,0.7069949303,0.7452471483,0.7452471483,0.7451310791,gemma,128
