dataset,labels_micro_f1,labels_macro_f1,labels_jaccard,openness_accuracy,openness_f1,model,step
labels_withphrase_test,0.2488888889,0.1975375609,0.1390367554,0.4182509506,0.362817117,qwen,4
labels_withphrase_test,0.7227866473,0.6124626794,0.5935361217,0.608365019,0.5759822239,qwen,8
labels_withphrase_test,0.737913486,0.6293279762,0.6443282636,0.608365019,0.6093964654,qwen,12
labels_withphrase_test,0.7621550591,0.6370511983,0.669391635,0.6768060837,0.6787008497,qwen,16
labels_withphrase_test,0.7765667575,0.6331013247,0.6718631179,0.6539923954,0.6419068073,qwen,20
labels_withphrase_test,0.7766990291,0.6330419771,0.6685678074,0.6235741445,0.5990502776,qwen,24
labels_withphrase_test,0.7730870712,0.6202786498,0.6839670469,0.6577946768,0.6480426751,qwen,28
labels_withphrase_test,0.7684210526,0.6392261973,0.6894169835,0.6768060837,0.6770532681,qwen,32
labels_withphrase_test,0.7780821918,0.6547626289,0.6770595691,0.6463878327,0.6453651759,qwen,36
labels_withphrase_test,0.7817679558,0.6602305242,0.688973384,0.6349809886,0.6275689668,qwen,40
labels_withphrase_test,0.7885402456,0.662006965,0.6993029151,0.6539923954,0.6303915209,qwen,44
labels_withphrase_test,0.7994722955,0.6813871642,0.7029150824,0.6539923954,0.6211248235,qwen,48
labels_withphrase_test,0.8005215124,0.6708691221,0.693409379,0.6615969582,0.6354270495,qwen,52
labels_withphrase_test,0.7857142857,0.6505438786,0.6690928843,0.7224334601,0.7170376839,qwen,56
labels_withphrase_test,0.8049113233,0.6537867973,0.6890367554,0.6730038023,0.673870141,qwen,60
labels_withphrase_test,0.807486631,0.6738659832,0.7131812421,0.6653992395,0.6667992997,qwen,64
labels_withphrase_test,0.8069705094,0.6818881134,0.7079214195,0.6920152091,0.688718708,qwen,68
labels_withphrase_test,0.8042609854,0.6835346193,0.7039561832,0.7072243346,0.6957899736,qwen,72
labels_withphrase_test,0.8015768725,0.6785468999,0.7038928119,0.7148288973,0.6967738713,qwen,76
labels_withphrase_test,0.8042609854,0.6882926181,0.7030689842,0.6958174905,0.6768472537,qwen,80
labels_withphrase_test,0.8089591568,0.685424379,0.7110537751,0.6768060837,0.6571449957,qwen,84
labels_withphrase_test,0.8073394495,0.6792900117,0.7184048524,0.6844106464,0.6711458974,qwen,88
labels_withphrase_test,0.8125819135,0.6863828611,0.7226507333,0.6844106464,0.6735892822,qwen,92
labels_withphrase_test,0.818061089,0.6960659607,0.7234745609,0.6920152091,0.6876122839,qwen,96
labels_withphrase_test,0.8090185676,0.6743186653,0.7157432555,0.6844106464,0.6832480891,qwen,100
labels_withphrase_test,0.8053691275,0.6632279986,0.7094061199,0.6996197719,0.6991245237,qwen,104
labels_withphrase_test,0.8005354752,0.6507941266,0.6943237371,0.7186311787,0.7185066704,qwen,108
labels_withphrase_test,0.8128342246,0.6810577968,0.7052236104,0.711026616,0.7093570173,qwen,112
labels_withphrase_test,0.8133333333,0.6847350851,0.7023718993,0.7224334601,0.7198166507,qwen,116
labels_withphrase_test,0.8111702128,0.6826237486,0.7047800109,0.711026616,0.7071727431,qwen,120
labels_withphrase_test,0.812749004,0.6884613604,0.7021817853,0.7148288973,0.7111692395,qwen,124
labels_withphrase_test,0.8095238095,0.6800336148,0.7030056129,0.7072243346,0.7017510568,qwen,128
